Date,Contra Costa,Los Angeles,Orange,Placer,Solano,CA,Long Beach,OC-CA
1/25/2020,0,0,0,0,0,0,0,0
1/26/2020,0,1,0,0,0,2,0,0
1/27/2020,0,0,0,0,0,0,0,0
1/28/2020,0,0,0,0,0,0,0,0
1/29/2020,0,0,0,0,0,0,0,0
1/30/2020,0,0,0,0,0,0,0,0
1/31/2020,0,0,0,0,0,1,0,0
2/1/2020,0,0,1,0,0,0,0,1
2/2/2020,0,0,0,0,0,3,0,0
2/3/2020,0,0,0,0,0,0,0,0
2/4/2020,0,0,0,0,0,0,0,0
2/5/2020,0,0,0,0,0,0,0,0
2/6/2020,0,0,0,0,0,0,0,0
2/7/2020,0,0,0,0,0,,0,0
2/8/2020,0,0,0,0,0,,0,0
2/9/2020,0,0,0,0,0,,0,0
2/10/2020,0,0,0,0,0,,0,0
2/11/2020,0,0,0,0,0,,0,0
2/12/2020,0,0,0,0,0,,0,0
2/13/2020,0,0,0,0,0,,0,0
2/14/2020,0,0,0,0,0,,0,0
2/15/2020,0,0,0,0,0,,0,0
2/16/2020,0,0,0,0,0,,1,0
2/17/2020,0,0,0,0,0,,0,0
2/18/2020,0,0,0,0,0,,0,0
2/19/2020,0,0,0,0,0,,0,0
2/20/2020,0,0,0,0,0,,0,0
2/21/2020,0,0,0,0,0,,0,0
2/22/2020,0,0,0,0,0,,0,0
2/23/2020,0,0,0,0,0,,0,0
2/24/2020,0,0,0,0,0,,1,0
2/25/2020,0,0,0,0,0,,1,0
2/26/2020,0,0,0,0,1,,0,0
2/27/2020,0,0,0,0,1,,1,0
2/28/2020,0,0,0,0,0,,1,0
2/29/2020,1,0,0,0,0,,0,0
3/1/2020,1,0,0,1,,,3,0
3/2/2020,1,0,0,0,,,0,0
3/3/2020,0,0,2,1,,,2,0
3/4/2020,3,,0,0,,,0,2
3/5/2020,0,,0,3,,,0,0
3/6/2020,4,,1,1,,,3,1
3/7/2020,1,,0,1,,,2,0
3/8/2020,0,,0,0,,,2,0
3/9/2020,6,,1,0,,,5,0
3/10/2020,7,,0,0,,,3,1
3/11/2020,4,,1,0,,,2,1
3/12/2020,6,,0,0,,,8,1
3/13/2020,8,,0,0,,,6,3
3/14/2020,6,,8,1,,,3,4
3/15/2020,6,,3,0,,,7,2
3/16/2020,14,,5,2,,,10,2
3/17/2020,12,,7,1,,,18,6
3/18/2020,14,,12,0,,,11,14
3/19/2020,14,,10,0,,,13,21
3/20/2020,30,,12,0,,,20,12
3/21/2020,13,,13,6,,,26,14
3/22/2020,7,,17,6,,,11,17
3/23/2020,33,,28,1,,,17,36
3/24/2020,19,,25,5,,,15,28
3/25/2020,24,,36,1,,,11,48
3/26/2020,22,,64,4,,,16,65
3/27/2020,17,,66,7,,,17,20
3/28/2020,17,,79,3,,,13,357
3/29/2020,10,,24,9,,,10,-313
3/30/2020,35,,33,4,,,17,75
3/31/2020,25,,38,10,,,12,88
4/1/2020,23,,104,11,,,31,73
4/2/2020,46,,54,12,,,19,61
4/3/2020,34,,55,7,,,29,73
4/4/2020,23,,70,4,,,19,68
4/5/2020,10,,47,2,,,18,39
4/6/2020,27,,49,3,,,19,90
4/7/2020,34,,40,9,,,22,61
4/8/2020,20,,89,2,,,20,63
4/9/2020,20,,63,3,,,14,71
4/10/2020,47,,57,3,,,18,62
4/11/2020,13,,80,1,,,26,100
4/12/2020,2,,49,0,,,22,16
4/13/2020,28,,7,3,,,26,30
4/14/2020,15,,21,1,,,33,49
4/15/2020,28,,83,1,,,33,15
4/16/2020,23,,50,1,,,32,62
4/17/2020,12,,72,0,,,21,57
4/18/2020,8,,56,1,,,21,73
4/19/2020,7,,68,1,,,18,22
4/20/2020,12,,36,0,,,31,88
4/21/2020,17,,24,1,,,24,38
4/22/2020,13,,66,0,,,28,68
4/23/2020,20,,67,3,,,33,56
4/24/2020,21,,30,3,,,22,104
4/25/2020,7,,118,0,,,18,102
4/26/2020,11,,98,2,,,18,77
4/27/2020,21,,48,2,,,38,74
4/28/2020,17,,32,2,,,44,126
4/29/2020,18,,100,0,,,51,97
4/30/2020,26,,123,2,,,30,170
5/1/2020,10,,150,3,,,49,69
5/2/2020,10,,90,9,,,33,114
5/3/2020,4,,102,2,,,35,85
5/4/2020,23,,84,1,,,39,72
5/5/2020,17,,66,0,,,33,110
5/6/2020,26,,124,1,,,49,115
5/7/2020,12,,85,2,,,32,127
5/8/2020,16,,139,0,,,75,112
5/9/2020,6,,141,3,,,19,111
5/10/2020,7,,115,1,,,27,121
5/11/2020,8,,53,1,,,37,72
5/12/2020,12,,54,0,,,43,144
5/13/2020,28,925,152,0,,,33,182
5/14/2020,20,962,216,2,,,41,138
5/15/2020,28,1073,145,2,,,41,118
5/16/2020,19,694,87,0,,,21,115
5/17/2020,10,477,147,1,,,24,70
5/18/2020,39,1183,46,0,,,58,92
5/19/2020,35,1324,58,1,,,65,188
5/20/2020,32,1204,240,0,,,42,120
5/21/2020,29,1072,95,0,,,34,109
5/22/2020,41,1032,104,8,,,47,169
5/23/2020,11,940,202,0,,,40,169
5/24/2020,7,1047,170,0,,,25,126
5/25/2020,9,1843,121,1,,,48,162
5/26/2020,38,933,105,3,,,92,50
5/27/2020,33,1094,112,6,,,56,198
5/28/2020,46,1824,87,2,,,90,196
5/29/2020,42,2112,163,3,,,57,131
5/30/2020,9,1379,170,15,,,37,178
5/31/2020,4,978,150,1,,,39,178
6/1/2020,32,1202,200,2,,,46,108
6/2/2020,32,1155,89,11,,,38,150
6/3/2020,29,1469,128,12,,,51,149
6/4/2020,50,1445,102,19,,,56,253
6/5/2020,48,1329,280,6,,,71,199
6/6/2020,18,1523,264,10,,,45,185
6/7/2020,18,823,113,9,,,32,67
6/8/2020,47,1225,108,10,,,77,143
6/9/2020,43,1275,83,10,,,60,205
6/10/2020,55,1857,144,10,,,69,231
6/11/2020,55,1633,249,13,,,52,82
6/12/2020,58,1568,161,17,,,68,136
6/13/2020,34,1003,127,14,,,64,141
6/14/2020,26,1071,294,14,,,45,163
6/15/2020,58,1337,197,18,,,76,200
6/16/2020,85,2129,241,21,,3455,93,219
6/17/2020,88,1051,198,21,,4084,87,115
6/18/2020,90,1414,128,28,,4317,150,319
6/19/2020,104,2056,284,16,,3893,125,375
6/20/2020,52,1784,402,14,,4515,102,312
6/21/2020,39,2571,430,12,,4230,84,279
6/22/2020,111,2364,172,17,,5019,140,148
6/23/2020,134,1260,142,15,,7149,139,360
6/24/2020,143,2012,354,22,,5349,154,733
6/25/2020,154,1809,506,23,,5269,135,417
6/26/2020,169,2169,479,14,,6209,129,438
6/27/2020,81,2542,540,18,,5120,89,292
6/28/2020,58,2903,146,16,,7083,93,262
6/29/2020,198,2779,456,16,,9480,157,469
6/30/2020,158,2002,779,41,,7407,198,672
7/1/2020,174,2204,570,40,,6408,205,1308
7/2/2020,212,2643,652,30,,5688,157,1394
7/3/2020,145,3187,713,32,,9153,137,1763
7/4/2020,92,1402,413,42,,8597,86,428
7/5/2020,85,1584,663,49,,5699,99,183
7/6/2020,202,4015,1028,34,,6090,224,737
7/7/2020,215,2496,1010,27,,11694,201,1574
7/8/2020,223,1777,1333,32,,7031,193,347
7/9/2020,253,2667,1292,23,,7798,179,872
7/10/2020,246,2916,1133,28,,8047,140,732
7/11/2020,140,3322,1251,34,,8460,131,738
7/12/2020,102,2593,814,22,,8358,112,969
7/13/2020,264,4244,540,37,,7346,153,579
7/14/2020,253,2758,865,37,,11126,160,937
7/15/2020,261,4592,911,16,,8544,126,803
7/16/2020,257,2885,873,36,,9986,252,807
7/17/2020,253,2770,405,32,,9199,138,437
7/18/2020,128,2848,702,45,,9329,137,641
7/19/2020,100,3160,415,83,,6846,95,338
7/20/2020,297,2741,560,40,,9231,178,396
7/21/2020,242,3266,990,39,,12807,136,1019
7/22/2020,249,2014,767,37,,12040,179,691
7/23/2020,232,1949,543,52,,9718,112,816
7/24/2020,217,3628,710,,,10066,133,667
7/25/2020,114,1703,595,,,8259,69,448
7/26/2020,104,2039,420,,,6891,64,374
7/27/2020,242,2708,273,,,6000,141,297
7/28/2020,259,4825,187,,,8755,136,183
7/29/2020,254,2628,439,37,,10197,97,507
7/30/2020,220,2651,506,36,,8086,82,766
7/31/2020,234,2303,418,54,,6542,86,91
8/1/2020,108,1476,637,36,,9032,83,507
8/2/2020,79,1634,558,13,,5739,29,563
8/3/2020,257,1901,422,13,,4526,96,439
8/4/2020,240,2347,253,15,,5295,95,139
8/5/2020,205,3290,65,45,,5258,70,63
8/6/2020,200,3116,580,41,,8436,50,492
8/7/2020,186,2645,43,60,,7371,73,60
8/8/2020,119,1789,322,87,,8373,52,229
8/9/2020,85,1920,565,96,,7751,38,556
8/10/2020,239,1440,886,37,,12500,88,1201
8/11/2020,201,2428,1051,58,,11645,61,760
8/12/2020,200,1999,245,36,,7085,72,371
8/13/2020,174,2642,348,73,,7934,58,443
8/14/2020,178,2103,683,57,,12614,74,380
8/15/2020,94,1192,513,39,,7873,51,412
8/16/2020,44,1185,342,18,,6469,27,492
8/17/2020,213,1003,216,25,,4636,88,318
8/18/2020,168,1956,287,18,,6164,87,38
8/19/2020,158,1603,295,20,,5920,56,279
8/20/2020,130,1759,429,26,,5585,36,361
8/21/2020,161,1644,372,16,,6556,45,326
8/22/2020,62,1098,493,35,,6777,29,506
8/23/2020,68,1198,153,37,,4946,36,136
8/24/2020,150,989,353,18,,4480,63,269
8/25/2020,137,1642,335,38,,6004,53,201
8/26/2020,137,1636,448,19,,4430,45,420
8/27/2020,171,1509,369,23,,5329,28,292
8/28/2020,116,1261,323,24,,4981,36,247
8/29/2020,65,1030,408,48,,6070,35,311
8/30/2020,59,1022,254,26,,4176,31,276
8/31/2020,146,840,94,30,,3712,55,109
9/1/2020,134,1457,287,24,,4255,57,279
9/2/2020,117,1193,317,35,,5125,58,200
9/3/2020,96,1493,299,21,,5106,39,355
9/4/2020,121,1196,313,32,,4956,43,262
9/5/2020,67,798,251,39,,4905,34,238
9/6/2020,53,494,223,28,,3091,23,205
9/7/2020,69,439,113,16,,2676,27,201
9/8/2020,141,671,151,22,,1616,36,82
9/9/2020,150,1239,194,18,,3338,34,180
9/10/2020,105,1115,281,11,,3326,38,223
9/11/2020,73,1177,142,27,,4107,49,138
9/12/2020,52,816,147,25,,4625,27,140
9/13/2020,47,733,170,15,,2855,30,166
9/14/2020,100,474,44,9,,2235,57,88
9/15/2020,131,1148,150,28,,2950,37,145
9/16/2020,89,1160,135,20,,3238,47,120
9/17/2020,104,1281,140,12,,3630,38,123
9/18/2020,105,1343,247,22,,4304,39,196
9/19/2020,72,991,227,21,,4265,30,266
9/20/2020,42,652,190,38,,3294,34,234
9/21/2020,145,810,138,22,,2630,44,130
9/22/2020,98,1265,181,19,,3146,51,165
9/23/2020,96,1165,156,16,,3170,37,130
9/24/2020,92,1401,84,12,,3400,36,91
9/25/2020,90,1236,282,7,,4197,31,282
9/26/2020,59,815,165,25,,4071,30,172
9/27/2020,24,663,246,10,,2955,35,255
9/28/2020,114,905,133,10,,2162,54,175
9/29/2020,76,1063,109,9,,3200,42,122
9/30/2020,60,1148,194,8,,3062,49,161
10/1/2020,67,1324,158,13,37,3590,40,172
10/2/2020,77,1062,209,11,33,2159,45,211
10/3/2020,40,933,239,,34,4293,21,274
10/4/2020,37,472,283,,26,3055,32,393
10/5/2020,77,990,120,,30,1677,52,137
10/6/2020,65,1645,138,10,31,2674,42,100
10/7/2020,76,1280,144,16,20,3575,47,129
10/8/2020,96,1256,141,20,30,3806,43,191
10/9/2020,60,1285,162,20,58,4170,30,223
10/10/2020,41,971,186,,41,3803,26,219
10/11/2020,25,881,244,,30,3449,24,237
10/12/2020,94,790,117,,57,2378,47,171
10/13/2020,91,1349,178,,19,2666,36,142
10/14/2020,71,1233,213,7,25,3329,45,241
10/15/2020,50,1072,153,19,44,3075,41,196
10/16/2020,57,953,151,16,49,2979,48,139
10/17/2020,45,358,85,,50,2862,43,106
10/18/2020,36,923,196,,50,3474,25,197
10/19/2020,90,713,203,,41,3286,52,258
10/20/2020,98,510,302,34,41,3707,49,262
10/21/2020,83,3600,262,11,44,2940,56,275
10/22/2020,63,2773,213,29,28,6141,30,229
10/23/2020,83,2173,162,36,58,5945,49,177
10/24/2020,56,830,316,,15,5219,31,333
10/25/2020,41,861,247,,8,2981,32,257
10/26/2020,116,1586,152,,74,3188,61,192
10/27/2020,110,1351,255,29,27,4515,41,173
10/28/2020,100,1745,233,41,64,4191,45,251
10/29/2020,99,1296,229,42,91,4014,37,245
10/30/2020,80,1326,276,63,44,5087,39,288
10/31/2020,53,1590,164,,48,4529,28,154
11/1/2020,60,1406,233,,46,4094,61,245
11/2/2020,161,1224,183,,74,4044,62,263
11/3/2020,148,1843,306,60,26,5338,100,287
11/4/2020,172,2065,237,15,42,4566,63,180
11/5/2020,163,2108,271,98,109,6518,75,277
11/6/2020,172,2418,309,52,117,5863,92,309
11/7/2020,112,2238,322,,107,7682,63,989
11/8/2020,55,1431,512,,66,7212,39,-4
11/9/2020,183,2318,308,,122,5367,99,301
11/10/2020,190,2152,267,59,45,7464,96,262
11/11/2020,188,2533,335,81,54,6927,122,332
11/12/2020,231,2481,295,63,64,6893,126,303
11/13/2020,198,3780,598,78,108,9875,139,572
11/14/2020,113,3061,528,,130,10968,101,536
