Date,Contra Costa,Los Angeles,Orange,OC Antigen,Placer,Solano,CA,Long Beach,LA DPH Pos tested,OC-CA,OC-CA date of test,,,,
2020-01-25,0,0,0,,0,0,0,,,0,0,,,,
2020-01-26,0,1,0,,0,0,2,,,0,0,,,,
2020-01-27,0,1,0,,0,0,2,,,0,0,,,,
2020-01-28,0,1,0,,0,0,2,,,0,0,,,,
2020-01-29,0,1,0,,0,0,2,,,0,0,,,,
2020-01-30,0,1,0,,0,0,2,,,0,0,,,,
2020-01-31,0,1,0,,0,0,3,,,0,0,,,,
2020-02-01,0,1,1,,0,0,3,,,1,3,,,,
2020-02-02,0,1,1,,0,0,6,,,1,3,,,,
2020-02-03,0,1,1,,0,0,6,,,1,3,,,,
2020-02-04,0,1,1,,0,0,6,,,1,4,,,,
2020-02-05,0,1,1,,0,0,6,,,1,4,,,,
2020-02-06,0,1,1,,0,0,6,,,1,5,,,,
2020-02-07,0,1,1,,0,0,,,,1,35,,,,
2020-02-08,0,1,1,,0,0,,,,1,37,,,,
2020-02-09,0,1,1,,0,0,,,,1,37,,,,
2020-02-10,0,1,1,,0,0,,,,1,38,,,,
2020-02-11,0,1,1,,0,0,,,,1,38,,,,
2020-02-12,0,1,1,,0,0,,,,1,39,,,,
2020-02-13,0,1,1,,0,0,,,,1,39,,,,
2020-02-14,0,1,1,,0,0,,,,1,40,,,,
2020-02-15,0,1,1,,0,0,,,,1,40,,,,
2020-02-16,0,1,1,,0,0,,,,1,41,,,,
2020-02-17,0,1,1,,0,0,,,,1,42,,,,
2020-02-18,0,1,1,,0,0,,,,1,42,,,,
2020-02-19,0,1,1,,0,0,,,,1,43,,,,
2020-02-20,0,1,1,,0,0,,,,1,44,,,,
2020-02-21,0,1,1,,0,0,,,,1,44,,,,
2020-02-22,0,1,1,,0,0,,,,1,46,,,,
2020-02-23,0,1,1,,0,0,,,,1,47,,,,
2020-02-24,0,1,1,,0,0,,,,1,47,,,,
2020-02-25,0,1,1,,0,0,,,,1,49,,,,
2020-02-26,0,1,1,,0,1,9,,,1,50,,,,
2020-02-27,0,1,1,,0,2,,,,1,51,,,,
2020-02-28,0,1,1,,0,2,34,,,1,57,,,,
2020-02-29,0,1,1,,0,2,,,,1,59,,,,
2020-03-01,2,1,1,,1,3,43,,,1,64,,,,
2020-03-02,3,1,1,,1,3,43,,,1,67,,,,
2020-03-03,3,1,1,,2,3,53,,,1,72,,,,
2020-03-04,6,7,3,,2,3,60,,,3,79,,,,
2020-03-05,6,11,3,,5,3,69,,,3,82,,,,
2020-03-06,10,13,4,,5,3,88,,,4,97,,,,
2020-03-07,11,14,4,,7,3,114,,,4,123,,,,
2020-03-08,11,14,4,,7,3,133,,,4,131,,,,
2020-03-09,17,16,5,,7,3,157,,,4,156,,,,
2020-03-10,24,17,5,,7,3,177,,11,5,185,,,,
2020-03-11,28,32,6,,7,4,198,,33,6,205,,,,
2020-03-12,34,40,6,,7,5,247,,105,7,235,,,,
2020-03-13,42,53,6,,7,5,288,,187,10,271,,,,
2020-03-14,48,69,14,,8,5,335,,235,14,309,,,,
2020-03-15,54,94,17,,9,5,392,,275,16,347,,,,
2020-03-16,68,144,22,,12,6,472,,432,18,415,,,,
2020-03-17,80,190,29,,13,7,598,,619,24,496,,,,
2020-03-18,94,231,41,,14,7,675,,775,38,572,,,,
2020-03-19,108,292,51,,14,9,1006,,969,59,626,,,,
2020-03-20,138,351,63,,15,13,1224,,1167,71,706,,,,
2020-03-21,151,409,76,,16,14,1468,,1276,85,753,,,,
2020-03-22,158,536,93,,19,14,1733,,1409,102,802,,,,
2020-03-23,191,662,121,,22,21,2102,,1702,138,867,,,,
2020-03-24,210,799,146,,28,24,2535,,2024,166,921,,,,
2020-03-25,234,1216,182,,30,31,3006,,2360,214,983,,,,
2020-03-26,256,1465,246,,34,34,3801,,2724,279,1041,,,,
2020-03-27,273,1804,312,,41,34,4643,,3118,299,1103,,,,
2020-03-28,290,2136,391,,44,34,,,3460,656,1154,,,,
2020-03-29,300,2474,415,,53,37,5763,,3671,343,1190,,,,
2020-03-30,335,3011,448,,57,43,6932,,4219,418,1263,,,,
2020-03-31,360,3518,486,,67,49,8155,,4748,506,1327,,,,
2020-04-01,383,4045,590,,78,54,9191,,5344,579,1395,,,,
2020-04-02,429,4566,644,,90,61,10701,,5916,640,1448,,,,
2020-04-03,463,5277,699,,97,73,12026,,6471,713,1500,,,,
2020-04-04,486,5940,769,,101,76,13438,,6925,781,1539,,,,
2020-04-05,496,6360,816,,103,85,14336,,7309,820,1581,,,,
2020-04-06,523,6910,865,,106,88,15865,,7733,910,1638,,,,
2020-04-07,557,7530,905,,115,99,16957,,8400,971,1682,,,,
2020-04-08,577,7955,994,,117,112,18309,,9032,1034,1729,,,,
2020-04-09,597,8430,1057,,120,115,19472,,9606,1105,1790,,,,
2020-04-10,644,8873,1114,,123,121,20615,,10185,1167,1865,,,,
