Date,Contra Costa,Los Angeles,Orange,Placer,Solano,CA,Long Beach,OC-CA
2/27/2020,0,0,0,0,0,0,,0
2/28/2020,0,0,0,0,0,0,,0
2/29/2020,0,0,0,0,0,0,,0
3/1/2020,0,0,0,0,0,0,,0
3/2/2020,0,0,0,0,0,0,,0
3/3/2020,0,0,0,0,0,1,,0
3/4/2020,0,0,0,1,0,1,,0
3/5/2020,0,0,0,1,0,1,,0
3/6/2020,0,0,0,1,0,1,,0
3/7/2020,0,0,0,1,0,1,,0
3/8/2020,0,0,0,1,0,1,,0
3/9/2020,0,0,0,1,0,2,,0
3/10/2020,0,0,0,1,0,3,,1
3/11/2020,0,1,0,1,0,4,,0
3/12/2020,0,1,0,1,0,5,,0
3/13/2020,0,1,0,1,0,5,,0
3/14/2020,0,1,0,1,0,6,,0
3/15/2020,0,1,0,1,0,6,,0
3/16/2020,0,1,0,1,0,11,,0
3/17/2020,0,1,0,1,0,13,,0
3/18/2020,0,2,0,1,0,16,,0
3/19/2020,0,2,0,1,0,19,,0
3/20/2020,0,4,0,1,0,23,,2
3/21/2020,0,5,0,1,0,27,,0
3/22/2020,2,7,0,1,0,27,,0
3/23/2020,2,11,0,1,0,40,,0
3/24/2020,3,13,1,1,0,53,,0
3/25/2020,3,21,1,1,0,65,,1
3/26/2020,3,26,1,1,0,78,,1
3/27/2020,3,32,3,1,0,101,,2
3/28/2020,3,37,4,1,0,,,4
3/29/2020,3,44,4,2,0,135,,2
3/30/2020,3,54,4,2,0,150,,5
3/31/2020,3,64,7,2,0,171,,7
4/1/2020,3,78,10,2,0,203,,11
4/2/2020,5,89,13,2,1,237,,12
4/3/2020,6,117,13,2,1,276,,13
4/4/2020,6,132,14,2,1,319,,15
4/5/2020,7,147,14,3,1,343,,15
4/6/2020,7,169,14,3,1,374,,17
4/7/2020,7,198,15,3,2,442,,19
4/8/2020,8,223,17,4,2,492,,19
4/9/2020,9,241,17,4,2,541,,19
4/10/2020,11,265,17,4,2,609,,21
4/11/2020,11,296,18,4,2,651,,21
4/12/2020,11,320,19,4,2,687,,21
4/13/2020,12,360,19,5,2,758,,21
4/14/2020,14,402,19,5,2,821,,24
4/15/2020,16,455,22,7,2,890,,24
4/16/2020,19,495,25,8,2,985,,28
4/17/2020,19,576,28,8,2,1072,,31
4/18/2020,20,600,32,8,2,1166,,32
4/19/2020,22,617,32,8,2,1208,,32
4/20/2020,22,663,33,8,2,1268,,33
4/21/2020,22,729,33,8,3,1354,,36
4/22/2020,23,797,34,8,3,1469,,36
4/23/2020,23,848,36,8,4,1562,,37
4/24/2020,25,895,36,8,4,1651,,39
4/25/2020,25,913,38,8,4,1710,,40
4/26/2020,25,942,39,8,4,1755,,40
4/27/2020,25,1000,39,8,4,1809,,42
4/28/2020,25,1056,42,8,4,1887,,42
4/29/2020,27,1111,44,8,5,1982,,43
4/30/2020,28,1172,45,8,5,2073,,46
5/1/2020,28,1209,50,8,5,2171,,51
5/2/2020,28,1229,52,8,,2215,,52
5/3/2020,28,1256,52,8,,2254,,55
5/4/2020,29,1313,57,8,,2317,,57
5/5/2020,29,1367,61,8,6,2412,,63
5/6/2020,29,1418,65,8,7,2504,,66
5/7/2020,29,1468,66,8,7,2585,,69
5/8/2020,31,1512,71,8,7,2678,,72
5/9/2020,31,1530,74,8,,2745,,75
5/10/2020,32,1569,76,8,,2770,,76
5/11/2020,32,1613,76,8,10,2847,,77
5/12/2020,33,1659,77,8,11,2934,,78
5/13/2020,33,1709,80,8,12,3032,,79
5/14/2020,33,1755,80,8,14,3108,,83
