,Alabama,Alaska,American Samoa,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Federated States of Micronesia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Marshall Islands,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York State,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Republic of Palau,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming,United States
2021-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2089181
2021-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437670
2021-01-24,29521,2486,N/A,21090,5854,197933,47573,63187,11468,2840,N/A,188701,43020,N/A,8527,8416,105450,44028,50060,36114,45902,32602,16739,N/A,43286,102512,78850,47320,16556,52092,6780,32126,19153,21433,86103,12464,176034,69752,3224,N/A,162917,26789,32080,131582,13713,N/A,13760,35018,6346,34705,191906,22225,7968,N/A,68153,41607,N/A,36135,2419,2567018
2021-01-25,30231,2588,N/A,22039,5916,215606,50778,66201,12128,2933,N/A,195285,44535,N/A,8639,8818,115681,44782,54059,38530,47579,33821,17319,N/A,47961,114041,80035,50854,17002,53829,7561,33074,21431,22975,93641,12703,183308,70742,3508,N/A,167455,28273,33978,144485,15024,N/A,15517,36465,6385,34712,200791,23588,8708,N/A,73792,44988,N/A,36801,2460,2714487
