,MA daily shipped,MA total shipped,MA daily administered,MA total admin,,CA ordered,CA shipped,CA delivered,CA administered,CA LTC Shipped,CA LTC Delivered,,LA received,LA administered,CA LA administered,,OC Othena Administered,CA OC administered,,NY received,NY administered
2020-12-13,5850,5850,0,0,,,,,,,,,,,,,,,,,
2020-12-14,34125,39975,0,0,,,,,,,,,105300,,,,,,,,
2020-12-15,19500,59475,99,99,,,,,,,,,,,,,,,,,
2020-12-16,0,59475,3765,3864,,,,,,,,,,,,,,,,,
2020-12-17,0,59475,8007,11871,,,,,,,,,,,,,,,,,
2020-12-18,0,59475,10923,22794,,,,,,,,,,,,,,,,,
2020-12-19,0,59475,4611,27405,,,,,,,,,,,,,,,,,
2020-12-20,20600,80075,2150,29555,,,,,,,,,,,,,,,,90675,
2020-12-21,41000,121075,9366,38921,,,,,,,,,287575,,,,,,,,
2020-12-22,25500,146575,9361,48282,,,,,,,,,,,,,,,,,
2020-12-23,29000,175575,10894,59176,,,,,,,,,,,,,,,,,
2020-12-24,0,175575,3961,63137,,,,,,,,,,63566,,,,,,,
2020-12-25,0,175575,294,63431,,,,,,,,,,,,,,,,,
2020-12-26,0,175575,2760,66191,,,,,,,,,,,,,,,,,
2020-12-27,0,175575,1344,67535,,,,,,,,,,,,,,,,482700,
2020-12-28,30300,205875,13205,80740,,,,,,,,,384800,,,,,,,,
2020-12-29,79175,285050,15698,96438,,,,,,,,,,,,,,,,,
2020-12-30,1950,287000,16312,112750,,,,,,,,,,,,,,,,,
2020-12-31,,287000,7279,120029,,,,,,,,,,114522,,,,,,,
2021-01-01,,287000,641,120670,,,,,,,,,,,,,,,,,
2021-01-02,,287000,7246,127916,,,,,,,,,,,,,,,,,
2021-01-03,,287000,6069,133985,,,,,,,,,,,,,,,,684200,
2021-01-04,41000,328000,12578,146563,,,,,,,,,545250,,,,,,,,
2021-01-05,1000,329000,14462,161025,,,,,,,,,,,,,,,,,
2021-01-06,17650,346650,16281,177306,,,,,,,,,,,,,,,,,
2021-01-07,600,347250,19581,196887,,,,,,,,,,217831,,,,,,,
2021-01-08,,347250,19922,216809,,,,,,,,,,,,,,,,,
2021-01-09,,347250,8372,225181,,,,,,,,,,,,,,,,,
2021-01-10,200,347450,4902,230083,,,,,,,,,,,,,,,,934925,
2021-01-11,,347450,22968,253051,,,,,,,,,800975,,,,,,,,
2021-01-12,157300,504750,24135,277186,,,,,,,,,,,,,,,,,
2021-01-13,34800,539550,23709,300895,,,,,,,,,,,,,,,,,
2021-01-14,,539550,21095,321990,,,,,,,,,,344563,,,,,,,
2021-01-15,,539550,21823,343813,,,,,,,,,,,,,,,,,
2021-01-16,,539550,10290,354103,,3906025,3226775,,,,,,,,,,,,,,
2021-01-17,,539550,5108,359211,,,,,,,,,,,,,,,,1190150,
2021-01-18,52225,591775,9916,369127,,,,,1454626,,,,890500,,,,,,,,
2021-01-19,29100,620875,19372,388499,,,,,,,,,,,,,,,,,
2021-01-20,29800,650675,22519,411018,,,,,,,,,,,,,,,,,
2021-01-21,1200,651875,22893,433911,,4332175,3989850,,1795174,,,,,441430,,,,,,,
2021-01-22,,651875,22405,456316,,,,,,,,,,,,,,,,,
2021-01-23,,651875,14280,470596,,,,,,,,,,,,,,,,,
2021-01-24,,651875,8266,478862,,4782725,4346225,,2321811,,,,,,,,74972,,,1868650,
2021-01-25,76525,728400,25501,504363,,,,,,,,,1026075,,,,,,,,
2021-01-26,55350,783750,28079,532442,,4882450,4695625,,2587736,,,,,,,,,,,,
2021-01-27,16575,800325,29796,562238,,4890950,4728850,,2730262,,,,,,682556,,84913,211124,,,
2021-01-28,,800325,30283,592521,,4914250,4736750,,2893493,,,,,719138,735353,,90504,220046,,,
2021-01-29,,800325,29451,621972,,5431750,4759750,,3078250,,,,,,770478,,94306,238094,,,
2021-01-30,,800325,17765,639737,,5559750,4759750,,3266914,,,,,,820118,,100887,251708,,,
2021-01-31,3800,804125,11323,651060,,5559750,4759750,,3434295,,,,,,864493,,107518,266845,,,
2021-02-01,92175,896300,19362,670422,,,,,,,,,1281925,,,,119045,,,,
2021-02-02,,,11050,681472,,,6257125,,3649440,810225,802425,,,,917491,,124010,301433,,,
2021-02-03,,,,,,,6693300,6343925,3792797,818025,803400,,,,952634,,131453,312532,,,
2021-02-04,,,,,,,6965675,6438225,3948752,823875,813150,,,1051229,992620,,136929,328874,,,
2021-02-05,,,,,,,6981275,6803450,4199626,824850,823875,,,,1031401,,142159,344818,,,
2021-02-06,,,,,,,7167500,6963500,4453271,829725,824850,,,,1103110,,148502,362070,,,
2021-02-07,,,,,,,7392300,6963500,4650637,829725,824850,,,,1155865,,153480,379585,,,
2021-02-08,,,,,,,7556800,7119225,4746539,834600,824850,,,,1175308,,158679,393511,,,
2021-02-09,,,,,,,7634975,7385225,4914630,842900,829725,,,,1221515,,164298,408645,,,
